Date,Open,High,Low,Close,Volume
30-Dec-08,22.01,23.32,21.85,23.32,827068
29-Dec-08,22.14,22.5,21.87,22.01,768468
26-Dec-08,21.57,22.38,21.51,22.32,450384
25-Dec-08,21.69,21.69,21.69,21.69,0
24-Dec-08,21.61,22.08,21.5,21.69,329683
23-Dec-08,22.25,22.7,21.16,21.79,914340
22-Dec-08,24.52,24.53,22.1,22.41,1220617
19-Dec-08,24.5,24.67,23.62,24.52,960499
18-Dec-08,24.66,25.25,23.78,24.28,876003
17-Dec-08,23.98,25.47,23.33,24.46,1069201
16-Dec-08,24.59,24.59,23.6,24.35,974459
15-Dec-08,24.61,24.61,23.1,23.73,1043812
12-Dec-08,23.02,24.74,23,24.74,1136693
11-Dec-08,24.34,24.75,23.35,23.67,1740255
10-Dec-08,23.51,25.2,22.95,24.98,2225142
9-Dec-08,22.6,24.88,22.2,23.21,2767194
8-Dec-08,24.13,24.13,22.58,23.17,2119774
5-Dec-08,21.23,23.9,20.44,23.3,1970424
4-Dec-08,21.25,22.8,20.58,21.35,1738503
3-Dec-08,18.53,22.05,18.26,21.85,2509411
2-Dec-08,18.48,19.32,17.5,19,1586905
1-Dec-08,19,19.3,17.8,17.88,1801423
28-Nov-08,19.09,19.65,18.75,19.35,840033
27-Nov-08,18.99,18.99,18.99,18.99,0
26-Nov-08,19.08,20,18.75,18.99,3232978
25-Nov-08,20.04,20.73,19.13,19.26,1946835
24-Nov-08,19.66,19.96,19.09,19.55,1839307
21-Nov-08,19.01,19.93,17.25,18.94,2597932
20-Nov-08,19.5,21.47,19.23,19.61,1862972
19-Nov-08,21,21.25,19.5,19.76,1881965
18-Nov-08,20.14,20.75,19.5,20.51,1571698
17-Nov-08,20.11,21.3,19.7,19.88,1639678
14-Nov-08,22.47,22.47,20,20,3541076
13-Nov-08,22.01,23.01,20.05,22.77,4044518
12-Nov-08,23,24.1,22.2,22.42,2785875
11-Nov-08,24.85,25.79,23.44,23.64,1643493
10-Nov-08,27.5,27.5,24.42,24.81,1959157
7-Nov-08,26.52,27.22,25.9,26.66,2244400
6-Nov-08,26.78,27.42,25.92,26.06,2199600
5-Nov-08,29.55,29.55,27.49,27.51,3205200
4-Nov-08,31.68,32.2,29.34,30.56,3674900
3-Nov-08,30.79,32.75,29.2,31.81,2778500
31-Oct-08,30.95,31.5,29.08,31,2624000
30-Oct-08,29.87,31.8,28.62,31.17,3554900
